Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_ClickUpdate_Delete,Chrome 71.0.3578.98,,2019-02-04 14:46:07,2019-02-04 14:46:51,44.379s,ERROR
,,,,,,
Test Cases/TC_Login,Chrome 71.0.3578.98,,2019-02-04 14:46:07,2019-02-04 14:46:23,15.499s,PASSED
"pk_Functions.CS_Login.LoginFun(findTestObject(null), ""http://192.168.0.190:8080/mof/#/"", findTestObject(""Login/Username""), findTestObject(""Login/Password""), ""AAttia"", ""123"", findTestObject(""Login/Login""))",Chrome 71.0.3578.98,,2019-02-04 14:46:08,2019-02-04 14:46:23,14.889s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Select_Screen,Chrome 71.0.3578.98,,2019-02-04 14:46:23,2019-02-04 14:46:29,6.321s,PASSED
"click(findTestObject(""NE_SideMenu""))",Chrome 71.0.3578.98,,2019-02-04 14:46:23,2019-02-04 14:46:25,2.171s,PASSED
"click(findTestObject(""NE_EventGroupManagement""))",Chrome 71.0.3578.98,,2019-02-04 14:46:25,2019-02-04 14:46:25,0.105s,PASSED
"click(findTestObject(""Event Group Managemnt/BTN_Search""))",Chrome 71.0.3578.98,,2019-02-04 14:46:25,2019-02-04 14:46:27,1.625s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-02-04 14:46:27,2019-02-04 14:46:29,2.047s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Search_FullScenario,Chrome 71.0.3578.98,,2019-02-04 14:46:29,2019-02-04 14:46:33,4.143s,ERROR
"pk_Functions.CS_SpecificPageData.DataFun([""Code_Search""], ""Event Group Management/MOF_NE_Event Group ManagementObjectRepository"", ""Sheet1"", [Code])",Chrome 71.0.3578.98,,2019-02-04 14:46:29,2019-02-04 14:46:31,1.316s,PASSED
"click(findTestObject(""Event Group Managemnt/BTN_Search""))",Chrome 71.0.3578.98,,2019-02-04 14:46:31,2019-02-04 14:46:31,0.109s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-02-04 14:46:31,2019-02-04 14:46:33,2.007s,PASSED
"pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters(""Search"", ""Event Group Management/MOF_NE_Event Group ManagementObjectRepository"", ""Sheet1"", [Code, ArabicDescription, EnglishDescription], 0)",Chrome 71.0.3578.98,,2019-02-04 14:46:33,2019-02-04 14:46:33,0.312s,ERROR
,,,,,,
Test Cases/Event Group Management/TC_Search_FullScenario,Chrome 71.0.3578.98,,2019-02-04 14:46:33,2019-02-04 14:46:36,2.560s,ERROR
"pk_Functions.CS_SpecificPageData.DataFun([""Code_Search""], ""Event Group Management/MOF_NE_Event Group ManagementObjectRepository"", ""Sheet1"", [Code])",Chrome 71.0.3578.98,,2019-02-04 14:46:33,2019-02-04 14:46:34,0.239s,PASSED
"click(findTestObject(""Event Group Managemnt/BTN_Search""))",Chrome 71.0.3578.98,,2019-02-04 14:46:34,2019-02-04 14:46:34,0.066s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-02-04 14:46:34,2019-02-04 14:46:36,2.003s,PASSED
"pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters(""Search"", ""Event Group Management/MOF_NE_Event Group ManagementObjectRepository"", ""Sheet1"", [Code, ArabicDescription, EnglishDescription], 0)",Chrome 71.0.3578.98,,2019-02-04 14:46:36,2019-02-04 14:46:36,0.209s,ERROR
,,,,,,
Test Cases/Event Group Management/TC_Search_FullScenario,Chrome 71.0.3578.98,,2019-02-04 14:46:36,2019-02-04 14:46:39,2.718s,ERROR
"pk_Functions.CS_SpecificPageData.DataFun([""Code_Search""], ""Event Group Management/MOF_NE_Event Group ManagementObjectRepository"", ""Sheet1"", [Code])",Chrome 71.0.3578.98,,2019-02-04 14:46:36,2019-02-04 14:46:36,0.455s,PASSED
"click(findTestObject(""Event Group Managemnt/BTN_Search""))",Chrome 71.0.3578.98,,2019-02-04 14:46:36,2019-02-04 14:46:36,0.065s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-02-04 14:46:36,2019-02-04 14:46:38,2.002s,PASSED
"pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters(""Search"", ""Event Group Management/MOF_NE_Event Group ManagementObjectRepository"", ""Sheet1"", [Code, ArabicDescription, EnglishDescription], 0)",Chrome 71.0.3578.98,,2019-02-04 14:46:38,2019-02-04 14:46:39,0.177s,ERROR
,,,,,,
Test Cases/Event Group Management/TC_Search_FullScenario,Chrome 71.0.3578.98,,2019-02-04 14:46:39,2019-02-04 14:46:41,2.525s,ERROR
"pk_Functions.CS_SpecificPageData.DataFun([""Code_Search""], ""Event Group Management/MOF_NE_Event Group ManagementObjectRepository"", ""Sheet1"", [Code])",Chrome 71.0.3578.98,,2019-02-04 14:46:39,2019-02-04 14:46:39,0.203s,PASSED
"click(findTestObject(""Event Group Managemnt/BTN_Search""))",Chrome 71.0.3578.98,,2019-02-04 14:46:39,2019-02-04 14:46:39,0.063s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-02-04 14:46:39,2019-02-04 14:46:41,2.001s,PASSED
"pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters(""Search"", ""Event Group Management/MOF_NE_Event Group ManagementObjectRepository"", ""Sheet1"", [Code, ArabicDescription, EnglishDescription], 0)",Chrome 71.0.3578.98,,2019-02-04 14:46:41,2019-02-04 14:46:41,0.242s,ERROR
,,,,,,
Test Cases/Event Group Management/TC_Search_FullScenario,Chrome 71.0.3578.98,,2019-02-04 14:46:41,2019-02-04 14:46:44,2.594s,ERROR
"pk_Functions.CS_SpecificPageData.DataFun([""Code_Search""], ""Event Group Management/MOF_NE_Event Group ManagementObjectRepository"", ""Sheet1"", [Code])",Chrome 71.0.3578.98,,2019-02-04 14:46:41,2019-02-04 14:46:41,0.331s,PASSED
"click(findTestObject(""Event Group Managemnt/BTN_Search""))",Chrome 71.0.3578.98,,2019-02-04 14:46:41,2019-02-04 14:46:41,0.088s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-02-04 14:46:41,2019-02-04 14:46:43,2.000s,PASSED
"pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters(""Search"", ""Event Group Management/MOF_NE_Event Group ManagementObjectRepository"", ""Sheet1"", [Code, ArabicDescription, EnglishDescription], 0)",Chrome 71.0.3578.98,,2019-02-04 14:46:43,2019-02-04 14:46:44,0.157s,ERROR
,,,,,,
Test Cases/Event Group Management/TC_Search_FullScenario,Chrome 71.0.3578.98,,2019-02-04 14:46:44,2019-02-04 14:46:46,2.458s,ERROR
"pk_Functions.CS_SpecificPageData.DataFun([""Code_Search""], ""Event Group Management/MOF_NE_Event Group ManagementObjectRepository"", ""Sheet1"", [Code])",Chrome 71.0.3578.98,,2019-02-04 14:46:44,2019-02-04 14:46:44,0.184s,PASSED
"click(findTestObject(""Event Group Managemnt/BTN_Search""))",Chrome 71.0.3578.98,,2019-02-04 14:46:44,2019-02-04 14:46:44,0.065s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-02-04 14:46:44,2019-02-04 14:46:46,2.002s,PASSED
"pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters(""Search"", ""Event Group Management/MOF_NE_Event Group ManagementObjectRepository"", ""Sheet1"", [Code, ArabicDescription, EnglishDescription], 0)",Chrome 71.0.3578.98,,2019-02-04 14:46:46,2019-02-04 14:46:46,0.191s,ERROR
,,,,,,
Test Cases/Event Group Management/TC_Search_FullScenario,Chrome 71.0.3578.98,,2019-02-04 14:46:46,2019-02-04 14:46:49,2.621s,ERROR
"pk_Functions.CS_SpecificPageData.DataFun([""Code_Search""], ""Event Group Management/MOF_NE_Event Group ManagementObjectRepository"", ""Sheet1"", [Code])",Chrome 71.0.3578.98,,2019-02-04 14:46:46,2019-02-04 14:46:46,0.211s,PASSED
"click(findTestObject(""Event Group Managemnt/BTN_Search""))",Chrome 71.0.3578.98,,2019-02-04 14:46:46,2019-02-04 14:46:46,0.128s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-02-04 14:46:46,2019-02-04 14:46:48,2.002s,PASSED
"pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters(""Search"", ""Event Group Management/MOF_NE_Event Group ManagementObjectRepository"", ""Sheet1"", [Code, ArabicDescription, EnglishDescription], 0)",Chrome 71.0.3578.98,,2019-02-04 14:46:48,2019-02-04 14:46:49,0.261s,ERROR
,,,,,,
Test Cases/Event Group Management/TC_Search_FullScenario,Chrome 71.0.3578.98,,2019-02-04 14:46:49,2019-02-04 14:46:51,2.497s,ERROR
"pk_Functions.CS_SpecificPageData.DataFun([""Code_Search""], ""Event Group Management/MOF_NE_Event Group ManagementObjectRepository"", ""Sheet1"", [Code])",Chrome 71.0.3578.98,,2019-02-04 14:46:49,2019-02-04 14:46:49,0.215s,PASSED
"click(findTestObject(""Event Group Managemnt/BTN_Search""))",Chrome 71.0.3578.98,,2019-02-04 14:46:49,2019-02-04 14:46:49,0.078s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-02-04 14:46:49,2019-02-04 14:46:51,2.001s,PASSED
"pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters(""Search"", ""Event Group Management/MOF_NE_Event Group ManagementObjectRepository"", ""Sheet1"", [Code, ArabicDescription, EnglishDescription], 0)",Chrome 71.0.3578.98,,2019-02-04 14:46:51,2019-02-04 14:46:51,0.179s,ERROR
