Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_EGMFullScenario,Chrome 71.0.3578.98,,2019-02-14 15:35:10,2019-02-14 15:39:39,4m - 29.370s,ERROR
,,,,,,
Test Cases/TC_Login,Chrome 71.0.3578.98,,2019-02-14 15:35:10,2019-02-14 15:35:27,16.830s,PASSED
"pk_Functions.CS_Login.LoginFun(findTestObject(null), ""http://192.168.0.190:8080/mof/#/"", findTestObject(""Login/Username""), findTestObject(""Login/Password""), ""AAttia"", ""123"", findTestObject(""Login/Login""))",Chrome 71.0.3578.98,,2019-02-14 15:35:11,2019-02-14 15:35:27,16.336s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Select_Screen,Chrome 71.0.3578.98,,2019-02-14 15:35:27,2019-02-14 15:35:31,4.272s,PASSED
"click(findTestObject(""NE_SideMenu""))",Chrome 71.0.3578.98,,2019-02-14 15:35:28,2019-02-14 15:35:29,1.153s,PASSED
"click(findTestObject(""NE_EventGroupManagement""))",Chrome 71.0.3578.98,,2019-02-14 15:35:29,2019-02-14 15:35:29,0.095s,PASSED
"click(findTestObject(""Event Group Managemnt/BTN_Search""))",Chrome 71.0.3578.98,,2019-02-14 15:35:29,2019-02-14 15:35:29,0.616s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-02-14 15:35:29,2019-02-14 15:35:31,2.035s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert_Records,Chrome 71.0.3578.98,,2019-02-14 15:35:31,2019-02-14 15:35:43,11.243s,PASSED
"click(findTestObject(""Event Group Managemnt/BTN_Insert""))",Chrome 71.0.3578.98,,2019-02-14 15:35:32,2019-02-14 15:35:32,0.176s,PASSED
"pk_Functions.CS_AllPageData.AllPageDataFun(""Event Group Management/MOF_NE_Event Group ManagementObjectRepository"", ""Sheet1"", [code, arabic_des, english_des])",Chrome 71.0.3578.98,,2019-02-14 15:35:32,2019-02-14 15:35:36,4.583s,PASSED
"click(findTestObject(""BTN_Save""))",Chrome 71.0.3578.98,,2019-02-14 15:35:36,2019-02-14 15:35:37,0.080s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-02-14 15:35:37,2019-02-14 15:35:40,3.003s,PASSED
"click(findTestObject(""Event Group Managemnt/BTN_Back (1)""))",Chrome 71.0.3578.98,,2019-02-14 15:35:40,2019-02-14 15:35:40,0.147s,PASSED
