Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Event Group Management (1),Chrome 71.0.3578.98,,2019-01-27 11:54:04,2019-01-27 11:57:16,3m - 11.880s,ERROR
,,,,,,
Test Cases/TC_Login,Chrome 71.0.3578.98,,2019-01-27 11:54:05,2019-01-27 11:54:22,16.863s,PASSED
pk_Functions.CS_Login.LoginFun,Chrome 71.0.3578.98,,2019-01-27 11:54:05,2019-01-27 11:54:22,16.215s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert,Chrome 71.0.3578.98,,2019-01-27 11:54:22,2019-01-27 11:54:35,13.304s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,,2019-01-27 11:54:22,2019-01-27 11:54:34,11.895s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-27 11:54:34,2019-01-27 11:54:35,1.007s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert,Chrome 71.0.3578.98,,2019-01-27 11:54:35,2019-01-27 11:54:43,8.107s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,,2019-01-27 11:54:35,2019-01-27 11:54:42,7.084s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-27 11:54:42,2019-01-27 11:54:43,1.006s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert,Chrome 71.0.3578.98,,2019-01-27 11:54:43,2019-01-27 11:54:51,8.184s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,,2019-01-27 11:54:43,2019-01-27 11:54:50,7.171s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-27 11:54:50,2019-01-27 11:54:51,1.013s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert,Chrome 71.0.3578.98,,2019-01-27 11:54:51,2019-01-27 11:54:59,8.066s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,,2019-01-27 11:54:51,2019-01-27 11:54:58,7.063s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-27 11:54:58,2019-01-27 11:54:59,1.001s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert,Chrome 71.0.3578.98,,2019-01-27 11:54:59,2019-01-27 11:55:07,8.132s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,,2019-01-27 11:54:59,2019-01-27 11:55:06,7.129s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-27 11:55:06,2019-01-27 11:55:07,1.003s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert,Chrome 71.0.3578.98,,2019-01-27 11:55:07,2019-01-27 11:55:15,8.029s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,,2019-01-27 11:55:07,2019-01-27 11:55:14,7.002s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-27 11:55:14,2019-01-27 11:55:15,1.011s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert,Chrome 71.0.3578.98,,2019-01-27 11:55:15,2019-01-27 11:55:24,8.066s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,,2019-01-27 11:55:15,2019-01-27 11:55:23,7.054s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-27 11:55:23,2019-01-27 11:55:24,1.012s,PASSED
,,,,,,
Test Cases/Event Group Management/TC_Insert,Chrome 71.0.3578.98,,2019-01-27 11:55:24,2019-01-27 11:55:32,8.006s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,,2019-01-27 11:55:24,2019-01-27 11:55:31,7.002s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-27 11:55:31,2019-01-27 11:55:32,1.004s,PASSED
