Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Insert,Chrome 71.0.3578.98,,2019-01-20 16:35:59,2019-01-20 16:36:39,40.350s,FAILED
,,,,,,
Test Cases/TC_Login,Chrome 71.0.3578.98,,2019-01-20 16:35:59,2019-01-20 16:36:20,20.812s,PASSED
"pk_Functions.CS_Login.LoginFun(findTestObject(null), ""http://192.168.0.190:8080/mof/#/"", findTestObject(""Login/Username""), findTestObject(""Login/Password""), ""AAttia"", ""123"", findTestObject(""Login/Login""))",Chrome 71.0.3578.98,,2019-01-20 16:36:00,2019-01-20 16:36:20,20.171s,PASSED
,,,,,,
Test Cases/Event Management/TC_Insert,Chrome 71.0.3578.98,,2019-01-20 16:36:20,2019-01-20 16:36:38,17.928s,FAILED
"pk_Functions.CS_Login.LoginFun(findTestObject(null), ""http://192.168.0.190:8080/mof/#/"", findTestObject(""Login/Username""), findTestObject(""Login/Password""), ""AAttia"", ""123"", findTestObject(""Login/Login""))",Chrome 71.0.3578.98,,2019-01-20 16:36:21,2019-01-20 16:36:35,14.143s,PASSED
"click(findTestObject(""Event Management/BTN_MenuItem""))",Chrome 71.0.3578.98,,2019-01-20 16:36:35,2019-01-20 16:36:37,1.677s,PASSED
"click(findTestObject(""Event Management/BTN_Page""))",Chrome 71.0.3578.98,,2019-01-20 16:36:37,2019-01-20 16:36:37,0.123s,PASSED
"click(findTestObject(""Event Management/BTN_Insert""))",Chrome 71.0.3578.98,,2019-01-20 16:36:37,2019-01-20 16:36:38,1.137s,FAILED
